id,feature,weight,HI,AR,GK,AL,TB,VE,AV,OC,LI,OE,OI,LA,LU,LY,TA,PE,PR,LT,GO,ON,OG,WE,OS,UM
a78,horn2,1,1,2,1,3,2,1,1,4,4,11,5,1,1,6,2,7,4,4,11,11,11,8,9,10
a79,how,1,1,2,2,2/10,3,2,2,2,2,2,2,2,4,5,6,7,2,2,2,2/11,2,2,8,9
a80,hunt,1,1,2,3/22,4,5,6,7,8,9,10,11,12,13,14,15,16,9,9,17,18,18/23,19,20,21
a81,husband,1,1,2,2,3,4,4/13,4,5,11,11,11,6,7,7,4,8,11,11,9,11,5,11,10,12
a82,I,1,1,1,1,3,4,1,1,1,1,1,2,1,2,2,4,1,1,1,1,1,1,2,1,6
a82a,me,1,2,2,2,2,4,2,2,1,1,2,2,2,2,2,4,2,1,1,3,3,3,2,5,2
a83,ice,1,1,2,3,4,5,6,7,8,8,7,1,9,10,11,12,13,8,8,14,7,7,1/15,16,17
a84,if,1,1,2,3,4/16,5/17,6,6,7/18,13,14,8,9,8,10,5,6,15,6,14,11,11,12/19,9,9
a85,in,1,7,1,1,1,2,3,4,1,1,1,1,1,7,7,2,5,1,6,1,1,1,1,1,1
a86,kill,1,1,2,3,4,5,1,1,6,7/18,8,9,10,11,12,5,1,13,13/19,8/14/20,14/21,8/14,15,16,17
a87,knee,1,1,1,1,1,1,1,1,2,9,10,11,1,3,4,1,5,6,9,10,10,10,11,7,8
a88,know,1,1,2,2,3,4/11,2,2/5,2/5,5/12,2,2,6,7,8,4/5,5,2,5,2,2,2,2,9,10
a89,lake,1,1,2/18,3,4,3,5/19,6,7,7,8/9,10,10,11,12,3,13,7,7,8/9,14,9,15,16,17
a90,laugh,1,1,2,2,3,4,5,6,7,8,9,10,11,12,13,4,14,15,7,9,9,9,16,17,18
a91,leaf,1,1,2,3,4,5,6,7,8,9,10,11,3,12,13,5,14,15,9,10,10/16,10/16,11,17,18
a92,left-hand,1,1,2/19,3,4/20,5,6,6,6,7,8,9,10,11,12,5,13,14,15,16,8,8,17/21,18,18
a93,leg,1,1,2,3,4,5,6,7,8,9,10,11,2,12,13,14,15,16,9,17,18/22,19,11,20,21
a94,lie,1,1,2,1,3,4,1,1,4,5,4,4,6,1,1,4,7,8,5,4,4,4,9,10,11
a95,live,1,1,2,9,3/12,9,9,9,9,10,4,11,9,5,6,9,9,9,9,4,4,4,11,7,8
a96,liver,1,1,16,2,3,4,2,2,5,6,7,8,2,9,10,11,12,2,2,13,7,7,8,14,15
a97,long,1,1,2,3,4,5,6,6,6,15,7,8,7,9,10,5,6,15,11,7,7,7,12/13,14,15
a98,louse,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,9,18,10,10,10,19,20
a99,man,1,1,2,2,3,4,2,2/5,6,5,5,5,5,7,8,4/11,2,5,5,5/12,6/13,6,5,9,10
